Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8
182.3135855789184,-182.7344878471076,-239.10506699530072,-134.20208830411497,75.11790281828414,-187.3509699959957,-218.14451597077124,-114.10920761935033
120.53069859280842,-186.91232812867955,-241.54700567254517,-137.4226541662919,84.24618642396833,-187.89861857915778,-218.34523062752638,-114.34815311716362
125.28679136296385,-186.50113751483838,-241.6514368844251,-138.82894506841052,63.49535639261775,-186.72170181937273,-217.01371057177403,-115.7643652440628
54.96831690963309,-182.63154877607127,-241.28526195070827,-139.5958947675903,54.44103563272206,-186.4224145188769,-214.77664459806414,-115.0019781665649
66.70910191937445,-183.77157880111392,-239.8790325728839,-140.42315870919563,57.57745908238514,-187.38351353282417,-213.832795657937,-116.20734612177569
71.44310107294979,-185.07019781854393,-236.0508533006758,-136.2267149461251,57.055826709376475,-188.2913256494565,-212.14137152491944,-113.2058945454306
62.96812629100318,-184.24886295111318,-234.3070164440786,-131.8261936530539,56.07443918723874,-189.36460394303623,-209.86129401350027,-108.49669685208185
81.74295663704093,-186.50586587458528,-233.65217608589708,-129.43807573767666,56.13318027665182,-189.53483308397279,-212.3594705524178,-108.66198835576584
79.7217302237425,-186.32676734465792,-233.9030699802096,-131.18413971766708,55.82250601827108,-190.2027352113082,-211.72436597179706,-112.5773523136876
74.29666676908846,-186.36409396599734,-229.60864768781482,-126.93116015129944,58.865967522744654,-190.98082135559156,-211.0983390532455,-112.74114048038152
74.62756915964344,-186.61206043928752,-224.752770155026,-122.57034187234964,58.83542349278686,-190.99030162213208,-207.12673550831465,-112.32476923362417
81.19853491989437,-188.86194186443106,-225.03464364654204,-122.84878802796057,57.6990293151076,-190.4418838647749,-207.07200949670835,-110.3555836493282
76.91427433052955,-188.91983430705116,-220.46129480489915,-116.10005034498955,62.55178133914987,-190.37197419830227,-207.84693215986613,-109.88501459478545
76.87979118525901,-188.644073785188,-218.85803146606943,-115.96050240582574,50.59989816606855,-188.41653948788684,-207.3707855206354,-109.39576819334732
87.11508334245997,-189.40435893657033,-216.37800396195547,-112.59380572296607,60.04471355039563,-189.50942853944508,-206.37198833003922,-108.65886395812552
88.08508936509627,-189.21603736662613,-214.09369660339624,-109.99890111086653,63.24758299661955,-189.5458287507563,-206.6088576311951,-108.80570175928293
88.22117369619069,-189.20825231387647,-213.45968802372855,-108.71728342864631,59.02527342970032,-189.38971482852142,-205.09685780786162,-108.08856806806406
74.83612581654701,-187.93944097500156,-212.53098611484188,-107.33903431290112,60.001032539681574,-188.88077948123995,-204.26405494565728,-108.09371208141738
83.77369086023522,-188.42018912167043,-214.34869178987515,-111.24744231429706,58.51399120139513,-188.46443223389596,-204.98716967759907,-108.56258909791963
87.55281434906266,-188.48283735746642,-213.1330774713483,-108.91924221616955,61.451650654661094,-188.94433905190652,-205.0142233340533,-108.68378764549436
